id|location|neighborhood|net_aff_units|net_units
117|(37.7487370866, -122.431327)|Noe Valley|0|1
118|(37.7852732100, -122.483293)|Outer Richmond|0|1
119|(37.7709840977, -122.427208)|Western Addition|0|4
120|(37.7432997831, -122.460148)|West of Twin Peaks|0|1
121|(37.7641077529, -122.477551)|Outer Sunset|0|2
122|(37.7638666251, -122.482850)|Outer Sunset|0|1
123|(37.7518161535, -122.407465)|Mission|0|1
124|(37.7640745401, -122.460658)|Inner Sunset|0|1
125|(37.7523096416, -122.420977)|Mission|0|35
126|(37.7425784611, -122.418058)|Bernal Heights|0|1
127|(37.8007238861, -122.420683)|Russian Hill|0|-1
128|(37.7279195600, -122.384763)|Bayview|0|1
129|(37.7221253373, -122.392796)|Bayview|0|9
130|DVU|Soma|0|125
131|(37.7522359491, -122.413258)|Mission|0|1
132|(37.7453864868, -122.435423)|Noe Valley|0|1
133|(37.7714019595, -122.391772)|Soma|0|143
134|(37.7658451455, -122.400239)|Potrero Hill|0|276
135|(37.7803894323, -122.430728)|Western Addition|0|1
136|(37.7511146781, -122.408250)|Mission|0|1
137|(37.7646797618, -122.396413)|Potrero Hill|0|9
138|(37.7276210028, -122.418165)|Excelsior|0|1
139|(37.7622323393, -122.448944)|Haight Ashbury|0|1
140|(37.7509966058, -122.407344)|Mission|0|1
141|(37.7618608058, -122.441275)|Castro/Upper Market|0|1
142|(37.7630610704, -122.477466)|Outer Sunset|0|1
143|(37.7531363165, -122.400172)|Potrero Hill|0|2
144|(37.7618364605, -122.506773)|Outer Sunset|0|1
145|(37.7236960262, -122.456658)|Ocean View|0|1
146|(37.7508570883, -122.407374)|Mission|0|1
147|(37.7526737740, -122.404008)|Mission|0|1
148|(37.7617716554, -122.502052)|Outer Sunset|0|1
149|(37.7857338101, -122.425605)|Western Addition|0|231
150|(37.7635206950, -122.462311)|Inner Sunset|0|1
151|RSUCRE|Soma|0|65
152|(37.7903301147, -122.419308)|Nob Hill|0|20
153|(37.8001114619, -122.421504)|Russian Hill|0|4
154|(37.8026386556, -122.427182)|Marina|0|1
155|(37.7505196226, -122.408245)|Mission|0|1
156|(37.7425798606, -122.480754)|Parkside|0|1
157|(37.7821475693, -122.415966)|Downtown/Civic Center|0|51
158|(37.7941998905, -122.410648)|Nob Hill|0|5
159|(37.7288411778, -122.385718)|Bayview|0|1
160|(37.7621634172, -122.485298)|Outer Sunset|0|1
161|(37.7943941308, -122.417189)|Nob Hill|0|1
162|(37.7988259178, -122.434803)|Marina|0|4
163|SOMA- SOUTH PARK|Soma|0|1
164|(37.7956907705, -122.417699)|Nob Hill|0|1
165|(37.7628132414, -122.465896)|Inner Sunset|0|1
166|(37.7956826009, -122.417763)|Nob Hill|0|1
167|(37.7901746294, -122.418398)|Nob Hill|0|3
168|(37.7404082740, -122.384452)|Bayview|0|1
169|(37.7295133454, -122.385831)|Bayview|0|2
170|(37.7327135466, -122.408098)|Excelsior|0|1
171|-|Soma|0|68
172|(37.7562034242, -122.393594)|Potrero Hill|0|256
173|(37.7286367346, -122.387023)|Bayview|0|1
174|(37.7700132208, -122.423497)|Mission|0|2
175|(37.7671083415, -122.396595)|Soma|0|65
176|(37.7610063056, -122.487915)|Outer Sunset|0|1
177|(37.7482552428, -122.426790)|Noe Valley|0|1
178|(37.7238951768, -122.457594)|Ocean View|0|6
179|(37.7615543678, -122.470765)|Inner Sunset|0|1
180|(37.7596583269, -122.508349)|Outer Sunset|0|1
181|(37.7883632539, -122.420841)|Downtown/Civic Center|0|34
182|(37.7902656481, -122.420299)|Nob Hill|0|63
183|(37.7609862083, -122.421230)|Mission|0|1
184|(37.7611900902, -122.469665)|Inner Sunset|0|1
185|(37.7327935595, -122.387682)|Bayview|0|1
186|(37.7435369076, -122.407203)|Bernal Heights|0|1
187|(37.7499918377, -122.415690)|Mission|0|2
188|(37.7670915644, -122.416833)|Mission|3|23
189|(37.7880562912, -122.423253)|Western Addition|9|69
190|(37.7635671486, -122.398125)|Potrero Hill|0|1
191|(37.7607671066, -122.476188)|Inner Sunset|0|1
192|(37.7610326757, -122.468577)|Inner Sunset|0|1
193|(37.7963395157, -122.421087)|Russian Hill|0|8
194|(37.8012555792, -122.408791)|North Beach|0|2
195|(37.7715099132, -122.444904)|Haight Ashbury|0|1
196|(37.8008589105, -122.425496)|Marina|0|7
197|(37.7684589153, -122.421094)|Mission|0|45
198|(37.7300509907, -122.387849)|Bayview|0|1
199|(37.7327495639, -122.388200)|Bayview|0|1
200|(37.7950610382, -122.419425)|Nob Hill|0|9
201|(37.7782758913, -122.436398)|Western Addition|0|3
202|(37.7589664425, -122.507642)|Outer Sunset|0|1
203|(37.7599102176, -122.484724)|Outer Sunset|0|1
204|(37.7245330026, -122.457882)|West of Twin Peaks|0|13
205|(37.7603204126, -122.470679)|Inner Sunset|0|1
206|-|Soma|0|13
207|(37.7863074569, -122.394352)|Soma|0|1
208|(37.7436591110, -122.406896)|Bernal Heights|0|1
209|(37.7662988444, -122.420121)|Mission|0|13
210|(37.7209489756, -122.438681)|Outer Mission|0|1
211|(37.7663134184, -122.415759)|Mission|0|1
212|(37.7327266289, -122.409353)|Excelsior|0|1
213|CESPIRIT|297-6493|0|2
214|(37.7434667113, -122.407232)|Bernal Heights|0|3
215|(37.7129604602, -122.458832)|Ocean View|0|2
216|(37.7658462455, -122.420208)|Mission|0|157
217|(37.7694254060, -122.425950)|Mission|0|88
218|(37.7183888636, -122.452542)|Ocean View|0|1
219|(37.7497758180, -122.507788)|Outer Sunset|0|2
220|(37.7733128308, -122.448755)|Haight Ashbury|0|1
221|(37.7990596296, -122.432024)|Marina|0|2
222|(37.7655813755, -122.419123)|Mission|0|351
223|(37.7700962835, -122.422686)|Mission|0|28
224|(37.7384878582, -122.397734)|Bayview|0|1
225|(37.7506436036, -122.478108)|Outer Sunset|0|1
226|(37.7575693117, -122.412055)|Mission|0|1
227|(37.7541962916, -122.421905)|Mission|0|1
228|(37.7772083449, -122.459126)|Inner Richmond|0|1
229|(37.7710538871, -122.423117)|Mission|0|3
230|(37.7580106722, -122.419583)|Mission|0|1
231|(37.8012685251, -122.444491)|Marina|0|1
232|(37.7828582053, -122.492132)|Outer Richmond|0|1
233|(37.7421253625, -122.502318)|Parkside|0|1
234|(37.7811714290, -122.454880)|Inner Richmond|0|23
235|(37.7488365910, -122.417254)|Mission|0|5
236|(37.7092264780, -122.443650)|Crocker Amazon|0|1
237|(37.7707979720, -122.431159)|Western Addition|0|1
238|(37.7795785346, -122.470292)|Inner Richmond|0|1
239|(37.7682808096, -122.423526)|Mission|0|1
240|(37.7806293793, -122.490887)|Outer Richmond|0|2
241|(37.7362024195, -122.390594)|Bayview|1|1
242|(37.7374724710, -122.412388)|Bernal Heights|0|1
243|(37.7587824580, -122.441165)|Castro/Upper Market|0|1
244|(37.7804829710, -122.492618)|Outer Richmond|0|1
245|(37.7581806239, -122.408424)|Mission|0|1
246|(37.7468757324, -122.450958)|Twin Peaks|0|1
247|(37.7830519002, -122.421646)|Downtown/Civic Center|0|120
248|(37.7872968008, -122.492644)|Seacliff|0|1
249|(37.7346702889, -122.436199)|Glen Park|0|1
250|(37.7888008535, -122.414204)|Downtown/Civic Center|2|27
251|(37.8022612799, -122.415252)|Russian Hill|0|1
252|(37.7598043593, -122.416615)|Mission|0|3
253|(37.7726035166, -122.508578)|Outer Richmond|0|1
254|(37.7599001658, -122.438506)|Castro/Upper Market|0|4
255|(37.7465793431, -122.426659)|Noe Valley|0|1
256|GMOSQUER|Downtown/Civic Center|50|429
257|KGUY|Soma|110|550
258|(37.7386357561, -122.386915)|Bayview|0|1
259|(37.7781946107, -122.436921)|Western Addition|0|1
260|(37.7589449510, -122.492137)|Outer Sunset|0|1
261|(37.7960937855, -122.415924)|Nob Hill|0|2
262|(37.7526811564, -122.394124)|Potrero Hill|0|1
263|(37.7478610740, -122.407848)|Bernal Heights|0|1
264|(37.7481252875, -122.406867)|Bernal Heights|0|2
265|(37.7592157491, -122.483005)|Outer Sunset|0|1
266|(37.7490274554, -122.414995)|Mission|20|160
267|(37.7594350262, -122.476457)|Inner Sunset|0|1
268|(37.7246572059, -122.458707)|West of Twin Peaks|0|3
269|(37.7447351512, -122.414655)|Bernal Heights|0|1
270|(37.7591499445, -122.479709)|Outer Sunset|0|1
271|(37.7374766133, -122.395926)|Bayview|0|1
272|(37.7669648983, -122.418317)|Mission|0|1
273|(37.7642211224, -122.398313)|Potrero Hill|0|2
274|(37.7593679780, -122.460648)|Inner Sunset|55|374
275|(37.7580100231, -122.503938)|Outer Sunset|0|1
276|RSUCRE|Soma|22|136
277|-|Soma|0|15
278|(37.7246970411, -122.458779)|West of Twin Peaks|0|8
279|TCHANG|Downtown/Civic Center|0|180
280|(37.7822093470, -122.476015)|Inner Richmond|0|2
281|(37.7892721056, -122.421211)|Nob Hill|12|107
282|KGUY|Downtown/Civic Center|13|110
283|(37.7160433563, -122.407165)|Visitacion Valley|0|-2
284|(37.7889652649, -122.423985)|Western Addition|0|1
285|(37.7445982341, -122.414641)|Bernal Heights|0|1
286|(37.7585938445, -122.481403)|Outer Sunset|0|1
287|(37.8022039889, -122.430598)|Marina|0|1
288|(37.7443508669, -122.424816)|Noe Valley|0|1
289|JBANALES|415-682-8060|0|4
290|(37.7792126119, -122.436768)|Western Addition|0|1
291|(37.8033706707, -122.433052)|Marina|0|28
292|(37.7439845860, -122.424018)|Bernal Heights|0|1
293|(37.7963282140, -122.416060)|Nob Hill|0|2
294|(37.7470932081, -122.465115)|West of Twin Peaks|0|1
295|(37.7242977931, -122.459377)|Ocean View|4|31
296|(37.7738914636, -122.420030)|Soma|107|584
297|(37.7632362408, -122.399761)|Potrero Hill|0|145
298|(37.7774168533, -122.439079)|Western Addition|0|4
299|(37.7629330742, -122.398992)|Potrero Hill|0|154
300|(37.7927787308, -122.419763)|Nob Hill|0|27
301|TCHANG|Soma|0|220
302|(37.7608311328, -122.419828)|Mission|0|1
303|(37.7279663657, -122.414352)|Excelsior|0|1
304|(37.7348327166, -122.391283)|Bayview|0|1
305|(37.7441034870, -122.407400)|Bernal Heights|0|1
306|(37.7555053505, -122.440615)|Noe Valley|0|2
307|(37.7821737670, -122.476787)|Inner Richmond|0|1
308|(37.7714457289, -122.445927)|Haight Ashbury|0|1
309|(37.7349523518, -122.391494)|Bayview|0|2
310|(37.7895929744, -122.422951)|Western Addition|31|260
311|(37.7883725262, -122.424292)|Western Addition|0|1
312|(37.7557657734, -122.508493)|Outer Sunset|0|1
313|(37.7575597570, -122.467263)|Inner Sunset|0|1
314|(37.7444322569, -122.412254)|Bernal Heights|0|1
315|(37.7300330660, -122.406463)|Excelsior|0|2
316|(37.7959125169, -122.424471)|Pacific Heights|0|34
317|(37.7859040324, -122.429080)|Western Addition|0|4
318|(37.7570047607, -122.449807)|Twin Peaks|0|1
319|(37.7426069240, -122.418731)|Bernal Heights|0|1
320|GCABRERO|664.9900x201|0|7
321|(37.7364132781, -122.393000)|Bayview|0|2
322|(37.7275608239, -122.420724)|Excelsior|0|1
323|(37.7272726095, -122.393707)|Bayview|0|3
324|(37.7846584593, -122.410696)|Downtown/Civic Center|0|113
325|-|Soma|0|4
326|(37.7567248430, -122.466662)|Inner Sunset|0|1
327|(37.7723347315, -122.421943)|Soma|0|160
328|-|Soma|0|13
329|(37.7138227243, -122.444312)|Outer Mission|0|1
330|(37.7904954065, -122.423027)|Pacific Heights|0|5
331|(37.7729534144, -122.422447)|Western Addition|5|42
332|(37.7563826347, -122.466062)|Inner Sunset|0|6
333|(37.7360344384, -122.392332)|Bayview|0|1
334|(37.7554179313, -122.484343)|Outer Sunset|0|1
335|(37.7693593026, -122.420399)|Mission|0|36
336|(37.8003213900, -122.430031)|Marina|0|14
337|(37.8006826227, -122.411288)|Russian Hill|0|18
338|(37.7368796118, -122.392156)|Bayview|0|1
339|(37.7993028970, -122.428160)|Marina|0|1
340|(37.7725441769, -122.423102)|Western Addition|0|100
341|(37.7363734006, -122.392930)|Bayview|0|1
342|(37.7416204681, -122.423846)|Bernal Heights|0|1
343|(37.7436782801, -122.407147)|Bernal Heights|0|1
344|(37.7295896209, -122.426603)|Excelsior|0|1
345|(37.7334393463, -122.392753)|Bayview|0|1
346|(37.7553555415, -122.468599)|Inner Sunset|0|1
347|(37.7399317865, -122.427288)|Glen Park|0|1
348|(37.7552869869, -122.468594)|Inner Sunset|0|1
349|(37.8040033973, -122.438357)|Marina|0|1
350|(37.7552366931, -122.468174)|Inner Sunset|0|1
351|(37.7111229830, -122.458290)|Ocean View|0|1
352|(37.7965988450, -122.426678)|Pacific Heights|0|1
353|(37.7337184902, -122.393246)|Bayview|0|1
354|(37.7339815727, -122.393115)|Bayview|0|1
355|(37.7662063240, -122.423806)|Mission|0|8
356|(37.7338047546, -122.402861)|Bayview|0|1
357|(37.7291965863, -122.440091)|Outer Mission|0|2
358|(37.7672656861, -122.419462)|Mission|0|54
359|(37.7867939008, -122.430325)|Western Addition|0|6
360|(37.7864908612, -122.438602)|Western Addition|0|1
361|DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)|Financial District|0|74
362|(37.7991719963, -122.413752)|Russian Hill|0|1
363|(37.7536270279, -122.479325)|Outer Sunset|0|1
364|(37.7792856504, -122.439381)|Western Addition|0|7
365|(37.7665929457, -122.424898)|Mission|0|1
366|(37.7286895621, -122.387488)|Bayview|0|1
367|(37.7948554571, -122.420173)|Nob Hill|0|1
368|(37.7263279883, -122.432852)|Excelsior|0|1
369|(37.7526737902, -122.488510)|Outer Sunset|0|1
370|(37.7929112553, -122.422414)|Nob Hill|0|35
371|(37.7712613923, -122.424673)|Western Addition|0|9
372|(37.7403321532, -122.426374)|Glen Park|0|1
373|(37.7134244541, -122.458623)|Ocean View|0|1
374|(37.7785793624, -122.441528)|Western Addition|0|2
375|(37.7825211094, -122.479257)|Outer Richmond|0|3
376|(37.7314199081, -122.496791)|Lakeshore|0|1
377|(37.7837500961, -122.409494)|Downtown/Civic Center|0|110
378|(37.7891288866, -122.459822)|Presidio Heights|0|1
379|(37.7467388563, -122.405385)|Bernal Heights|0|1
380|(37.7209188605, -122.435324)|Excelsior|0|1
381|(37.7665356372, -122.420109)|Mission|0|9
382|(37.7436075773, -122.407175)|Bernal Heights|0|1
383|(37.7353930182, -122.395590)|Bayview|0|1
384|(37.7599981028, -122.400514)|Potrero Hill|0|2
385|(37.7205047819, -122.483875)|Lakeshore|0|64
386|(37.7449816858, -122.415841)|Bernal Heights|0|1
387|(37.7098754698, -122.443591)|Crocker Amazon|0|1
388|(37.7312411623, -122.400370)|Bayview|0|1
389|(37.7498245911, -122.477568)|Outer Sunset|0|1
390|CTEAGUE|Soma|67|67
391|(37.7145490695, -122.463356)|Ocean View|0|1
392|(37.7133769843, -122.459183)|Ocean View|0|2
393|(37.7286919043, -122.390310)|Bayview|0|2
394|(37.7285801736, -122.390410)|Bayview|0|1
395|(37.7884130260, -122.391516)|Soma|0|285
396|(37.7636814953, -122.396319)|Potrero Hill|0|2
397|(37.7506008118, -122.466181)|West of Twin Peaks|0|1
398|(37.7611512834, -122.402665)|Potrero Hill|0|1
399|(37.7133764123, -122.459288)|Ocean View|0|2
400|(37.7148275880, -122.406552)|Visitacion Valley|0|2
401|(37.7825240147, -122.481284)|Outer Richmond|0|3
402|(37.7946321845, -122.422796)|Nob Hill|0|44
403|(37.7636390852, -122.388361)|Potrero Hill|12|97
404|(37.7518284853, -122.421842)|Mission|0|1
405|(37.7496372570, -122.468057)|Inner Sunset|0|1
406|(37.7369959532, -122.398435)|Bayview|0|1
407|(37.7486689585, -122.489724)|Outer Sunset|0|1
408|(37.7471231155, -122.491770)|Outer Sunset|0|1
409|(37.7614995370, -122.410581)|Mission|0|271
410|(37.7642712638, -122.415743)|Mission|109|112
411|(37.7304253339, -122.401846)|Bayview|0|2
412|(37.7293963267, -122.405756)|Excelsior|0|1
413|(37.7309081444, -122.401626)|Bayview|0|1
414|(37.7399931212, -122.411893)|Bernal Heights|0|1
415|(37.7631881042, -122.389089)|Potrero Hill|0|18
416|(37.7436552140, -122.406986)|Bernal Heights|0|1
417|(37.7579672037, -122.448776)|Twin Peaks|0|1
418|(37.7687605666, -122.425404)|Mission|0|3
419|(37.7673991274, -122.446954)|Haight Ashbury|0|1
420|(37.7266782192, -122.403469)|Excelsior|0|2
421|(37.7675094270, -122.429432)|Castro/Upper Market|0|60
422|(37.7632279169, -122.419795)|Mission|0|29
423|(37.7902960472, -122.432772)|Pacific Heights|0|76
424|(37.7446165902, -122.433766)|Noe Valley|0|1
425|(37.7422219010, -122.488893)|Parkside|0|2
426|(37.7476264735, -122.488160)|Outer Sunset|0|1
427|(37.7444471024, -122.433100)|Noe Valley|0|1
428|(37.7445234765, -122.490395)|Parkside|0|1
429|(37.7630742862, -122.415444)|Mission|0|1
430|(37.8012112529, -122.415849)|Russian Hill|0|1
431|(37.7671449622, -122.429935)|Castro/Upper Market|0|27
432|(37.7624245164, -122.389033)|Potrero Hill|0|6
433|EJARDINE|Soma|0|1
434|(37.7474167767, -122.478891)|Outer Sunset|0|1
435|(37.7302370597, -122.397609)|Bayview|0|1
436|(37.7623405123, -122.388255)|Potrero Hill|0|109
437|(37.7124017529, -122.400968)|Visitacion Valley|0|4
438|(37.7728934315, -122.452060)|Haight Ashbury|0|3
439|(37.7381787273, -122.400512)|Bayview|0|1
440|(37.7382186011, -122.400582)|Bayview|0|1
441|(37.7852456350, -122.486928)|Outer Richmond|0|2
442|(37.7482479363, -122.465296)|West of Twin Peaks|0|1
443|(37.7296423202, -122.425568)|Excelsior|0|1
444|(37.7665267113, -122.430769)|Castro/Upper Market|10|87
445|CGROB|Downtown/Civic Center|0|28
446|(37.7639077771, -122.440543)|Castro/Upper Market|0|1
447|(37.7108078575, -122.401926)|Visitacion Valley|45|229
448|(37.7653602593, -122.431194)|Castro/Upper Market|0|9
449|(37.7518232185, -122.400799)|Potrero Hill|0|1
450|(37.7457834966, -122.489108)|Parkside|0|1
451|-|Soma|0|23
452|(37.7823345906, -122.483417)|Outer Richmond|0|16
453|(37.8015453986, -122.443682)|Marina|0|1
454|(37.7455294895, -122.491245)|Parkside|0|1
455|(37.7612470298, -122.388941)|Potrero Hill|0|37
456|(37.7967261878, -122.436087)|Marina|0|-1
457|(37.7967153169, -122.436172)|Marina|0|1
458|(37.7645393125, -122.431215)|Castro/Upper Market|0|41
459|(37.7597204632, -122.485091)|Outer Sunset|0|1
460|(37.7108855901, -122.397751)|Visitacion Valley|0|1
461|(37.7837830708, -122.476734)|Inner Richmond|0|1
462|MIXED USE-RESIDENTIAL|Soma|0|9
463|(37.7985818483, -122.436720)|Marina|0|1
464|(37.7421531510, -122.490455)|Parkside|0|7
465|(37.7728589150, -122.426785)|Western Addition|0|1
466|PLAVALLE|Soma|0|37
467|(37.7544455353, -122.466177)|Inner Sunset|0|1
468|(37.7440638717, -122.505112)|Parkside|0|1
469|(37.7837435611, -122.476074)|Inner Richmond|0|1
470|(37.7607982498, -122.388902)|Potrero Hill|0|69
471|(37.8056172019, -122.412200)|North Beach|0|17
472|(37.7084590995, -122.431923)|Crocker Amazon|0|1
473|EJACKSON|Soma|0|44
474|(37.7324923506, -122.410121)|Excelsior|0|1
475|(37.7430845892, -122.433577)|Noe Valley|0|1
476|(37.7446213833, -122.477640)|Parkside|0|1
477|(37.7850127314, -122.409948)|Downtown/Civic Center|0|4
478|(37.7224302166, -122.461562)|Ocean View|0|1
479|(37.7654562731, -122.436188)|Castro/Upper Market|0|1
480|(37.8027685942, -122.445705)|Marina|0|-1
481|MIXED USE-RESIDENTIAL|Soma|0|22
482|(37.7421120674, -122.491388)|Parkside|0|1
483|(37.7430332673, -122.499663)|Parkside|0|1
484|(37.7423270877, -122.450924)|West of Twin Peaks|0|1
485|(37.7435342605, -122.488291)|Parkside|0|1
486|(37.7996437118, -122.440219)|Marina|0|6
487|(37.7440384472, -122.475368)|Parkside|0|10
488|(37.7990754063, -122.439930)|Marina|0|21
489|(37.7434410340, -122.485722)|Parkside|0|1
490|(37.7432996720, -122.488934)|Parkside|0|1
491|(37.7566452766, -122.409816)|Mission|0|1
492|(37.7509518171, -122.430490)|Noe Valley|0|1
493|(37.7593457298, -122.415088)|Mission|0|2
494|(37.7203766801, -122.471383)|Ocean View|0|1
495|(37.7633660844, -122.396915)|Potrero Hill|0|1
496|(37.7835802261, -122.473406)|Inner Richmond|0|1
497|(37.7296642748, -122.425137)|Excelsior|0|1
498|(37.7383398947, -122.426566)|Glen Park|0|1
499|(37.7978697261, -122.400452)|Financial District|0|31
500|(37.7302614928, -122.397779)|Bayview|0|1
501|(37.7420029532, -122.489920)|Parkside|0|1
502|JBANALES|Soma|0|28
503|(37.7988614311, -122.441503)|Marina|0|8
504|(37.7589406245, -122.388722)|Potrero Hill|0|9
505|(37.7423585751, -122.480272)|Parkside|0|1
506|(37.7996245021, -122.443381)|Marina|0|2
507|(37.7422214677, -122.480263)|Parkside|0|1
508|(37.7438903469, -122.493529)|Parkside|0|1
509|(37.7653208750, -122.411120)|Mission|6|53
510|(37.7424133172, -122.425355)|Noe Valley|0|1
511|(37.7994135734, -122.442052)|Marina|1|53
512|(37.7421679102, -122.475259)|Parkside|0|1
513|-|Financial District|0|603
514|(37.7163421062, -122.460794)|Ocean View|0|1
515|(37.7988366995, -122.442111)|Marina|0|1
516|(37.7745607808, -122.458019)|Inner Richmond|0|1
